[2026-04-06 16:42:00] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 16:42:04] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 16:42:16] USER: admin | EVENT: ANALYSIS | Generated ML Forecast for ALL
[2026-04-06 16:59:18] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 16:59:22] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 17:02:50] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 17:02:53] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 17:19:45] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 17:19:49] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 17:19:54] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 17:49:41] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: lead_times.json
[2026-04-06 17:49:57] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 17:50:01] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 17:52:56] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 17:53:01] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 18:10:45] USER: analyst | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-06 18:10:50] USER: analyst | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-06 18:11:01] USER: analyst | EVENT: ANALYSIS | Generated ML Forecast for CA
[2026-04-07 21:26:57] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 21:27:03] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v2.json
[2026-04-07 22:47:55] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 22:58:40] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:00:20] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:05:51] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:12:27] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:14:40] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:18:39] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:22:37] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v2.csv
[2026-04-07 23:55:05] USER: admin | EVENT: DATA_ACTIVATION | Global dataset set to: medical_inventory_test_v3.csv
[2026-04-07 23:55:27] USER: admin | EVENT: CONFIG_CHANGE | Global config set to: medical_emergency_config_v3.json
[2026-04-07 23:56:44] USER: admin | EVENT: ANALYSIS | Generated ML Forecast for ALL
